Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2015-16,2016-17,2017-18,2018-19,2019-20,Source document,Source table
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",State Occasion and Official Visits,3573,3632,3726,3813,3848,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)","Support to the former
  Governors-General",454,422,391,373,3920,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,Special appropriations,"Public Governance, Performance and
  Accountability Act 2013- s77",10,10,10,10,10,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,Special accounts,Australia New Zealand Land Information,35,35,23,0,0,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,Special accounts,"Services for Other Entities and
  Trust Moneys ",5,5,5,0,0,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Administered expenses,"Expenses not requiring
  appropriation in the
   Budget year",,124,131,131,144,144,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Departmental expenses,Departmental appropriation,,117776,110366,105718,106358,105598,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Departmental expenses,s 74 Retained revenue receipts,,3619,3567,3372,3245,3296,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 1: Provide high quality policy advice and support to the Prime Minister, the Cabinet, Portfolio Ministers and Parliamentary Secretaries including through the coordination of government activities, policy development and program delivery.",Program 1.1: Prime Minister and Cabinet,Departmental expenses,"Expenses not requiring
  appropriation in the
   Budget year",,9893,10137,9460,7952,7612,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.1.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 2:  Improve results for Indigenous Australians including in relation to school attendance, employment and community safety, through delivering services and programs, and through measures that recognise the special place that Indigenous people hold in this Nation.","Program 2.1: Jobs, Land and Economy",Administered expenses,"Ordinary annual services
  (Appropriation Bill No. 1)",,623493,729542,654303,610833,640338,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.2.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 2:  Improve results for Indigenous Australians including in relation to school attendance, employment and community safety, through delivering services and programs, and through measures that recognise the special place that Indigenous people hold in this Nation.","Program 2.1: Jobs, Land and Economy",Administered expenses,Special appropriations,"Aboriginal Land Rights
  (Northern Territory) Act 1976 - Aboriginals Benefit Account",192000,125000,131000,146000,152000,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.2.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 2:  Improve results for Indigenous Australians including in relation to school attendance, employment and community safety, through delivering services and programs, and through measures that recognise the special place that Indigenous people hold in this Nation.","Program 2.1: Jobs, Land and Economy",Administered expenses,Special appropriations,Ranger Agreement,969,983,998,1013,1028,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.2.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 2:  Improve results for Indigenous Australians including in relation to school attendance, employment and community safety, through delivering services and programs, and through measures that recognise the special place that Indigenous people hold in this Nation.","Program 2.1: Jobs, Land and Economy",Administered expenses,Special accounts,"Aboriginal and Torres Strait
  Islander Land Account",51108,51979,53226,54504,55811,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.2.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 2:  Improve results for Indigenous Australians including in relation to school attendance, employment and community safety, through delivering services and programs, and through measures that recognise the special place that Indigenous people hold in this Nation.","Program 2.1: Jobs, Land and Economy",Administered expenses,Special accounts,Aboriginals Benefit Account,177226,157087,154988,149478,141967,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.2.1
Prime Minister and Cabinet Portfolio,Department of the Prime Minister and Cabinet,"Outcome 2:  Improve results for Indigenous Australians including in relation to school attendance, employment and community safety, through delivering services and programs, and through measures that recognise the special place that Indigenous people hold in this Nation.","Program 2.1: Jobs, Land and Economy",Administered expenses,Payments to corporate entities,,43647,19758,42785,42685,42630,Department of the Prime Minister and Cabinet 2016-17 PBS,Table 2.2.1
